City_ID,City,Country,Max Temp,City Description,Lat,Lng,Hotel Name
216,San Patricio,US,76.15,overcast clouds,28.017,-97.5169,
217,Keta,GH,73.62,scattered clouds,5.9179,0.9879,
219,Faanui,PF,81.59,broken clouds,-16.4833,-151.75,
220,Batticaloa,LK,76.05,broken clouds,7.7102,81.6924,
221,Mopti,ML,62.64,clear sky,14.6667,-4.0,
224,San Lorenzo,PY,77.94,scattered clouds,-25.3333,-57.5333,
227,Santa Fe,AR,79.02,light rain,-31.6333,-60.7,
228,Arraial Do Cabo,BR,73.74,clear sky,-22.9661,-42.0278,
229,Panguna,PG,85.71,broken clouds,-6.3164,155.4848,
232,Mount Gambier,AU,62.1,overcast clouds,-37.8333,140.7667,
233,Taltal,CL,66.83,few clouds,-25.4,-70.4833,
237,Werda,BW,74.61,broken clouds,-25.2667,23.2833,
242,Myitkyina,MM,60.06,clear sky,25.3833,97.4,
243,Acapulco,MX,80.42,scattered clouds,16.8634,-99.8901,
244,Mogadishu,SO,77.47,overcast clouds,2.0371,45.3438,
247,Santa Cruz,BO,74.66,broken clouds,-17.8,-63.1667,
248,Christchurch,NZ,75.33,overcast clouds,-43.5333,172.6333,
250,Kaitangata,NZ,66.16,overcast clouds,-46.2817,169.8464,
251,Mvangue,CM,67.15,light rain,2.9667,11.5167,
257,Grand Gaube,MU,74.37,overcast clouds,-20.0064,57.6608,
258,Cururupu,BR,74.26,overcast clouds,-1.8283,-44.8683,
260,Port Keats,AU,82.36,overcast clouds,-14.25,129.55,
262,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,
264,Vaitape,PF,81.59,broken clouds,-16.5167,-151.75,
265,Igbo Ora,NG,73.24,scattered clouds,7.4333,3.2833,
266,Port Blair,IN,78.84,broken clouds,11.6667,92.75,
267,Hamilton,US,60.01,overcast clouds,39.1834,-84.5333,
268,Banjar,ID,84.36,overcast clouds,-8.19,114.9675,
271,Ko Samui,TH,82.31,few clouds,9.5357,99.9357,
272,Mount Pleasant,US,60.94,mist,32.7941,-79.8626,
273,Amalapuram,IN,71.69,few clouds,16.5833,82.0167,
274,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,
275,Nanakuli,US,80.55,clear sky,21.3906,-158.1547,
277,Tondano,ID,78.89,overcast clouds,1.3038,124.9112,
278,Saurimo,AO,63.54,overcast clouds,-9.6608,20.3916,
279,Kavieng,PG,85.19,scattered clouds,-2.5744,150.7967,
282,Ambilobe,MG,71.94,broken clouds,-13.2,49.05,
285,Saldanha,ZA,62.98,broken clouds,-33.0117,17.9442,
287,Bagotville,AU,81.86,scattered clouds,-28.9833,153.4167,
288,Tezu,IN,62.04,clear sky,27.9167,96.1667,
289,Puerto Escondido,MX,79.63,clear sky,15.85,-97.0667,
290,Banda Aceh,ID,78.94,overcast clouds,5.5577,95.3222,
296,Tamandare,BR,78.82,overcast clouds,-8.7597,-35.1047,
301,Ixtapa,MX,72.63,few clouds,20.7,-105.2,
